1st	abaestu	wave down; hang down richly (poet.);	present_stem
1st	abalien	"make alien; separate, abstract; alienate, estrange, make disaffected;"	present_stem
1st	abalien	"|transfer (sale/contract); remove, take away, dispose of; numb/deaden;"	present_stem
1st	abambul	go away;	present_stem
2nd	abarc	keep away;	present_stem
1st	abbatiz	be abbot;	present_stem
3rd	abbib	"drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;"	present_stem
3rd	abbit	"approach, come/draw near;"	present_stem
1st	abbrevi	"shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;"	present_stem
3rd	abd	"remove, put away, set aside; depart, go away; hide, keep secret, conceal;"	present_stem
1st	abdic	"resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;"	present_stem
3rd	abdic	"be against, reject; withhold (someones right); forbid by unfavorable omen;"	present_stem
3rd	abduc	"lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;"	present_stem
1st	abequit	ride away;	present_stem
2nd	aberc	keep away; forbid;	present_stem
1st	aberr	"stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);"	present_stem
3rd	abflu	"flow/stream/issue (from); flow away; be abundant, abound (in w/ABL);"	present_stem
3IO	abfug	"flee (from), shun; run/fly away, escape; disappear/vanish (things);"	present_stem
2nd	abhib	hold at a distance;	present_stem
2nd	abhorr	"abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;"	present_stem
3rd	abhorresc	"dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;"	present_stem
3rd	abic	"humble; cast aside/away/off, reject;"	present_stem
3IO	abic	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;	present_stem
3rd	abig	"drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"	present_stem
3rd	abig	|remove/cure (disease); drive away (an evil); force birth; procure abortion;	present_stem
3rd	abig	"drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"	present_stem
3rd	abig	|remove/cure (disease); drive away (an evil); force birth; procure abortion;	present_stem
1st	abit	"go away, depart;"	present_stem
1st	abject	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;	present_stem
3IO	abjic	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;	present_stem
1st	abjudic	deprive by judicial verdict; give judgment against; reject; deny an oath;	present_stem
1st	abjug	"separate (from), remove; loose from the yoke;"	present_stem
3rd	abjung	"unyoke, remove, separate; unharness; remove part, split; cut off from, detach;"	present_stem
1st	abjur	repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;	present_stem
1st	abjurg	take away in settlement of a quarrel; deny/refuse reproachfully (L+S);	present_stem
1st	ablact	wean;	present_stem
1st	ablacu	loosen/weed the soil at the roots (of trees);	present_stem
1st	ablacu	loosen/weed the soil at the roots (of trees);	present_stem
1st	ablaque	loosen/weed the soil at the roots (of trees);	present_stem
1st	ableg	"send away/off (on a mission); banish, get rid of; remove/delete a word;"	present_stem
4th	abligur	"eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"	present_stem
4th	abligurr	"eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"	present_stem
1st	abloc	"place a contract for (work), hire; let/lease/rent (house);"	present_stem
3rd	ablu	"wash away/off/out, blot out, purify, wash, cleanse; dispel (infection); quench;"	present_stem
3rd	ablud	differ from; fall short of; play out of tune;	present_stem
1st	abnat	swim away from; swim off;	present_stem
1st	abneg	"deny; decline (to), refuse, reject; refuse to give, withhold (what is due);"	present_stem
1st	abnoct	"spend the night out, stay away all night; spend the night away from Rome;"	present_stem
1st	abnod	cut off knots; clear trees of knots;	present_stem
2nd	abnu	"refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"	present_stem
3rd	abnu	"refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"	present_stem
1st	abnumer	"count up, reckon up;"	present_stem
1st	abnut	deny/refuse/forbid (w/shake of head) repeatedly; forbid;	present_stem
2nd	abol	"destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;"	present_stem
3IO	abolefac	destroy;	present_stem
3rd	abolesc	"decay gradually, shrivel, wilt; vanish, disappear; die out; fall into disuse;"	present_stem
3rd	aborisc	"pass/fade away, disappear, be lost;"	present_stem
1st	abort	cast its young (beast) (give birth prematurely);	present_stem
4th	abort	miscarry;	present_stem
3rd	abrad	"scratch/scrape/rub/wipe (off), shave; erase; wash/erode away; /knock off/, rob;"	present_stem
1st	abrenunti	"renounce, repudiate (strongly);"	present_stem
3IO	abrip	"drag/snatch/carry/remove away by force; wash/blow away (storm); abduct, kidnap;"	present_stem
3rd	abrod	gnaw off/away;	present_stem
1st	abrog	"abolish; repeal wholly, annul; remove, take away;"	present_stem
